snapshot_time_utc,year,week,game_id,start_date,home_team,away_team,provider,spread,spread_open,over_under,over_under_open,home_moneyline,away_moneyline
2026-08-12T05:15:50+00:00,2026,1,401858425,2026-09-05T16:00:00.000Z,Indiana,North Texas,Bovada,-41,-40.5,55.5,55.5,,
2026-08-12T05:15:50+00:00,2026,1,401858426,2026-09-05T20:15:00.000Z,Iowa,Northern Illinois,Bovada,-31,-29.5,45.5,43.5,-100000,2500
2026-08-12T05:15:50+00:00,2026,1,401858426,2026-09-05T20:15:00.000Z,Iowa,Northern Illinois,DraftKings,-29.5,-29.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858428,2026-09-05T23:30:00.000Z,Michigan,Western Michigan,DraftKings,-26.5,-26.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858428,2026-09-05T23:30:00.000Z,Michigan,Western Michigan,Bovada,-26.5,-26.5,47.5,47.5,-100000,2200
2026-08-12T05:15:50+00:00,2026,1,401858429,2026-09-05T00:00:00.000Z,Michigan State,Toledo,DraftKings,-10.5,-10.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858429,2026-09-05T00:00:00.000Z,Michigan State,Toledo,Bovada,-10.5,-10.5,49.5,49.5,-410,305
2026-08-12T05:15:50+00:00,2026,1,401858430,2026-09-05T16:00:00.000Z,Nebraska,Ohio,DraftKings,-23.5,-23.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858430,2026-09-05T16:00:00.000Z,Nebraska,Ohio,Bovada,-24,-23.5,47.5,47.5,-4000,1200
2026-08-12T05:15:50+00:00,2026,1,401858432,2026-09-05T16:30:00.000Z,Ohio State,Ball State,DraftKings,-49.5,-49.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858432,2026-09-05T16:30:00.000Z,Ohio State,Ball State,Bovada,-51,-50.5,56.5,56.5,,
2026-08-12T05:15:50+00:00,2026,1,401858433,2026-09-05T19:30:00.000Z,Oregon,Boise State,DraftKings,-24.5,-24.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858433,2026-09-05T19:30:00.000Z,Oregon,Boise State,Bovada,-24.5,-24.5,52,53.5,-10000,1600
2026-08-12T05:15:50+00:00,2026,1,401858434,2026-09-05T19:30:00.000Z,Penn State,Marshall,Bovada,-24.5,-23.5,54.5,54.5,-3300,1100
2026-08-12T05:15:50+00:00,2026,1,401858434,2026-09-05T19:30:00.000Z,Penn State,Marshall,DraftKings,-23.5,-23.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401862699,2026-09-05T23:00:00.000Z,South Florida,Florida International,Bovada,-12.5,-12.5,55,54.5,-460,340
2026-08-12T05:15:50+00:00,2026,1,401862699,2026-09-05T23:00:00.000Z,South Florida,Florida International,DraftKings,-12.5,-12.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858201,2026-08-29T23:00:00.000Z,Stanford,Hawai'i,DraftKings,-3,-3,,,,
2026-08-12T05:15:50+00:00,2026,1,401858201,2026-08-29T23:00:00.000Z,Stanford,Hawai'i,Bovada,-5.5,-3,49.5,50.5,-170,145
2026-08-12T05:15:50+00:00,2026,1,401862693,2026-08-30T02:00:00.000Z,UNLV,Memphis,DraftKings,-3,-3,,,,
2026-08-12T05:15:50+00:00,2026,1,401862693,2026-08-30T02:00:00.000Z,UNLV,Memphis,Bovada,-5.5,-3,57.5,60.5,-170,145
2026-08-12T05:15:50+00:00,2026,1,401864494,2026-08-29T19:00:00.000Z,USC,San José State,Bovada,-38,-35.5,59.5,57.5,-100000,3500
2026-08-12T05:15:50+00:00,2026,1,401864494,2026-08-29T19:00:00.000Z,USC,San José State,DraftKings,-35.5,-35.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401864570,2026-08-29T23:00:00.000Z,Florida State,New Mexico State,Bovada,-31,-29.5,53,53.5,-100000,2800
2026-08-12T05:15:50+00:00,2026,1,401864570,2026-08-29T23:00:00.000Z,Florida State,New Mexico State,DraftKings,-29.5,-28.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401864577,2026-08-29T21:30:00.000Z,North Dakota State,Jacksonville State,Bovada,-7,-10,47.5,48.5,-330,265
2026-08-12T05:15:50+00:00,2026,1,401864577,2026-08-29T21:30:00.000Z,North Dakota State,Jacksonville State,DraftKings,-10,-10,,,,
2026-08-12T05:15:50+00:00,2026,1,401866408,2026-08-29T22:30:00.000Z,Eastern Michigan,Sacramento State,DraftKings,-8.5,-8.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401866408,2026-08-29T22:30:00.000Z,Eastern Michigan,Sacramento State,Bovada,-8.5,-8.5,52.5,52.5,-330,265
2026-08-12T05:15:50+00:00,2026,1,401858204,2026-09-03T23:00:00.000Z,Wake Forest,Akron,DraftKings,-22.5,-22.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858204,2026-09-03T23:00:00.000Z,Wake Forest,Akron,Bovada,-22.5,-22.5,49.5,49.5,-3500,1100
2026-08-12T05:15:50+00:00,2026,1,401858423,2026-09-03T22:00:00.000Z,Rutgers,Massachusetts,Bovada,-30.5,-30.5,54.5,54.5,,
2026-08-12T05:15:50+00:00,2026,1,401858423,2026-09-03T22:00:00.000Z,Rutgers,Massachusetts,DraftKings,-30.5,-30.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858202,2026-08-29T19:30:00.000Z,Virginia,NC State,Bovada,-5.5,-3.5,53,54.5,-145,125
2026-08-12T05:15:50+00:00,2026,1,401858202,2026-08-29T19:30:00.000Z,Virginia,NC State,DraftKings,-3,,53.5,,-135,114
2026-08-12T05:15:50+00:00,2026,1,401858438,2026-09-06T23:30:00.000Z,Notre Dame,Wisconsin,Bovada,-20.5,-16.5,47.5,46.5,-2500,1000
2026-08-12T05:15:50+00:00,2026,1,401858438,2026-09-06T23:30:00.000Z,Notre Dame,Wisconsin,DraftKings,-20.5,,47.5,47.5,-1800,1000
2026-08-12T05:15:50+00:00,2026,1,401856661,2026-09-06T23:30:00.000Z,Ole Miss,Louisville,Bovada,-6.5,-8.5,55.5,52.5,-270,220
2026-08-12T05:15:50+00:00,2026,1,401856661,2026-09-06T23:30:00.000Z,Ole Miss,Louisville,DraftKings,-6.5,,55.5,,-278,225
2026-08-12T05:15:50+00:00,2026,1,401858212,2026-09-07T23:30:00.000Z,Florida State,SMU,DraftKings,2.5,,52.5,,120,-142
2026-08-12T05:15:50+00:00,2026,1,401858212,2026-09-07T23:30:00.000Z,Florida State,SMU,Bovada,2.5,2.5,53.5,52.5,120,-140
2026-08-12T05:15:50+00:00,2026,1,401856776,2026-09-04T00:00:00.000Z,Georgia Tech,Colorado,DraftKings,-7,-7,,,,
2026-08-12T05:15:50+00:00,2026,1,401856776,2026-09-04T00:00:00.000Z,Georgia Tech,Colorado,Bovada,-7,-7,51,51.5,-290,240
2026-08-12T05:15:50+00:00,2026,1,401858436,2026-09-05T01:00:00.000Z,USC,Fresno State,DraftKings,-23.5,-23.5,,,,
2026-08-12T05:15:50+00:00,2026,1,401858436,2026-09-05T01:00:00.000Z,USC,Fresno State,Bovada,-22.5,-23,51.5,51.5,-3500,-100000
